"date","federal_state","company","arrivals","nights"
"1974-05","W96-4",74,1002,13404
"1974-05","W96-4",998,113,784
"1974-05","W96-4",999,463,2562
"1974-05","W96-5",1,34237,106220
"1974-05","W96-5",2,56796,235603
"1974-05","W96-5",3,43004,170762
"1974-05","W96-5",70,2888,6675
"1974-05","W96-5",81,7634,22508
"1974-05","W96-5",73,1884,13375
"1974-05","W96-5",71,1549,27073
"1974-05","W96-5",83,935,1978
"1974-05","W96-5",84,1299,12110
"1974-05","W96-5",60,16489,113168
"1974-05","W96-5",72,229,3740
"1974-05","W96-5",74,250,3318
"1974-05","W96-5",998,412,955
"1974-05","W96-5",999,1539,7432
"1974-05","W96-6",1,18348,40824
"1974-05","W96-6",2,19319,76138
"1974-05","W96-6",3,35037,167046
"1974-05","W96-6",70,2143,3311
"1974-05","W96-6",81,5001,16769
"1974-05","W96-6",73,313,6774
"1974-05","W96-6",71,596,13463
"1974-05","W96-6",83,927,1025
"1974-05","W96-6",84,2166,11297
"1974-05","W96-6",60,10428,92338
"1974-05","W96-6",75,271,8258
"1974-05","W96-6",72,44,542
"1974-05","W96-6",74,670,8829
"1974-05","W96-6",998,295,2091
"1974-05","W96-6",999,4223,29273
"1974-05","W96-7",1,43947,101401
"1974-05","W96-7",2,40780,128922
"1974-05","W96-7",3,76113,337672
