"NUTS1","NUTS2","NUTS3","DISTRICT_CODE","Postal_CODE","Dog.Breed","Anzahl","Ref_Date"
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / Ostsibirischer Laika",1,20231201
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / Pudelpointer",1,20231201
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / Pyrenaeen Berghund",1,20231201
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / Rhodesian Ridgeback",1,20231201
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / Welsh Corgi Pembroke",1,20231201
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / Zwergpinscher",1,20231201
"AT1","AT13","AT113",90200,1020,"Lagotto romagnolo / English Springer Spaniel",1,20231201
"AT1","AT13","AT113",90200,1020,"Lagotto romagnolo / Grosspudel Braun",1,20231201
"AT1","AT13","AT113",90200,1020,"Lakeland Terrier",1,20231201
"AT1","AT13","AT113",90200,1020,"Lancashire Heeler / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Langhaar Dachshund Kaninchen",1,20231201
"AT1","AT13","AT113",90200,1020,"Langhaar Dachshund Kaninchen / English Cocker Spaniel mehrfae",1,20231201
"AT1","AT13","AT113",90200,1020,"Leonberger",1,20231201
"AT1","AT13","AT113",90200,1020,"Luzerner Laufhund",1,20231201
"AT1","AT13","AT113",90200,1020,"Magyar Vizsla Drahthaar",11,20231201
"AT1","AT13","AT113",90200,1020,"Magyar Vizsla Drahthaar / Bracke",1,20231201
"AT1","AT13","AT113",90200,1020,"Magyar Vizsla Kurzhaar",5,20231201
"AT1","AT13","AT113",90200,1020,"Magyar Vizsla Kurzhaar / Deutsch Kurzhaar",1,20231201
"AT1","AT13","AT113",90200,1020,"Malinois",7,20231201
"AT1","AT13","AT113",90200,1020,"Malinois / Hollaendischer Schaeferhund Kurzhaar",1,20231201
"AT1","AT13","AT113",90200,1020,"Malteser",75,20231201
"AT1","AT13","AT113",90200,1020,"Malteser / Mehrfarben Zwergpudel schwarz weiss",1,20231201
"AT1","AT13","AT113",90200,1020,"Malteser / Mischling",12,20231201
"AT1","AT13","AT113",90200,1020,"Malteser / Pekingese",1,20231201
"AT1","AT13","AT113",90200,1020,"Malteser / Pudel",2,20231201
"AT1","AT13","AT113",90200,1020,"Malteser / Tibetan Terrier",1,20231201
"AT1","AT13","AT113",90200,1020,"Mastiff",1,20231201
"AT1","AT13","AT113",90200,1020,"Miniatur Bull Terrier",1,20231201
"AT1","AT13","AT113",90200,1020,"Mittelspitz Braun/Schwarz / English Cocker Spaniel einfaerbig",1,20231201
"AT1","AT13","AT113",90200,1020,"Mops (Carlin)",26,20231201
"AT1","AT13","AT113",90200,1020,"Mops (Carlin) / Mischling",3,20231201
"AT1","AT13","AT113",90200,1020,"Norfolk Terrier / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Olde English Bulldogge",2,20231201
"AT1","AT13","AT113",90200,1020,"Oesterreichischer Pinscher / Chihuahua Kurzhaar",1,20231201
"AT1","AT13","AT113",90200,1020,"Papillon",5,20231201
"AT1","AT13","AT113",90200,1020,"Parson Russell Terrier / Oesterreichischer Pinscher",2,20231201
"AT1","AT13","AT113",90200,1020,"Pekingese / Mischling",9,20231201
"AT1","AT13","AT113",90200,1020,"Perro de agua Espanol",5,20231201
"AT1","AT13","AT113",90200,1020,"Petit brabancon",1,20231201
"AT1","AT13","AT113",90200,1020,"Pit Bull Terrier",3,20231201
"AT1","AT13","AT113",90200,1020,"Podengo Portugues Rauhhaar Medio",1,20231201
"AT1","AT13","AT113",90200,1020,"Posavski Gonic",1,20231201
"AT1","AT13","AT113",90200,1020,"Pudel",18,20231201
"AT1","AT13","AT113",90200,1020,"Pudel / Dackel",1,20231201
"AT1","AT13","AT113",90200,1020,"Pudelpointer",1,20231201
"AT1","AT13","AT113",90200,1020,"Pudelpointer / Puli weiss",1,20231201
"AT1","AT13","AT113",90200,1020,"Pudelpointer / Spinone Italiano",1,20231201
"AT1","AT13","AT113",90200,1020,"Puli andersfarbig / Komondor",1,20231201
"AT1","AT13","AT113",90200,1020,"Pumi",2,20231201
"AT1","AT13","AT113",90200,1020,"Pumi / Puli andersfarbig",1,20231201
"AT1","AT13","AT113",90200,1020,"Rauhhaar Dachshund Normal",6,20231201
"AT1","AT13","AT113",90200,1020,"Rauhhaar Dachshund Normal / Deutscher Schaeferhund",1,20231201
"AT1","AT13","AT113",90200,1020,"Rhodesian Ridgeback / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Riesenschnauzer pfeffer-salz",2,20231201
"AT1","AT13","AT113",90200,1020,"Riesenschnauzer schwarz",1,20231201
"AT1","AT13","AT113",90200,1020,"Saluki",1,20231201
"AT1","AT13","AT113",90200,1020,"Samojede",8,20231201
"AT1","AT13","AT113",90200,1020,"Samojede / Golden Retriever",1,20231201
"AT1","AT13","AT113",90200,1020,"Schnauzer pfeffersalz / Mischling",9,20231201
"AT1","AT13","AT113",90200,1020,"Schnauzer pfeffersalz / Puli andersfarbig",1,20231201
"AT1","AT13","AT113",90200,1020,"Schnauzer schwarz / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Schnauzer schwarz / Schwarzer Terrier",1,20231201
"AT1","AT13","AT113",90200,1020,"Schwarzer Terrier",1,20231201
"AT1","AT13","AT113",90200,1020,"Schwarzer Terrier / Labrador Retriever",1,20231201
"AT1","AT13","AT113",90200,1020,"Scottish Terrier",2,20231201
"AT1","AT13","AT113",90200,1020,"Segugio Italiano a pelo forte / Havaneser",1,20231201
"AT1","AT13","AT113",90200,1020,"Shar Pei",6,20231201
"AT1","AT13","AT113",90200,1020,"Shar Pei / Mischling",2,20231201
"AT1","AT13","AT113",90200,1020,"Shetland Sheepdog",8,20231201
"AT1","AT13","AT113",90200,1020,"Shetland Sheepdog / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Shiba / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Shih Tzu",30,20231201
"AT1","AT13","AT113",90200,1020,"Siberian Husky / Australian Shepherd",1,20231201
"AT1","AT13","AT113",90200,1020,"Spitz",7,20231201
